Image Name,Extracted Text
0101.jpg,"numwmh hai  ol  .,  W "
0114.jpg,"w  s  LYS  \“,;  P  PR  -  /‘-  K "
0119.jpg,
0160.jpg,
096.jpg,
097.jpg,PUSHPA 
1.jpg,fdidint areate fly  for thiz kind cf  ~hit 
10.jpg,A 
100.jpg,-~ 
101.jpg,Docsn’  that  tea ke  vau  vay? 
102.jpg,
103.jpg,
104.jpg,fnzeback 
105.jpg,Wiat the hell 
106.jpg,", - "
109.jpg,L) 
11.jpg,"What's your response to  ""You smell like weed"" "
110.jpg,"Hello Jesus, coma to Fecebook it's  urgent "
111.jpg,
112.jpg,"‘Whese are yon watching fram  W  W "", ""  [\  ""  "" "
113.jpg,
114.jpg,R  )i 
115.jpg,| ) 
116.jpg,b\\\  == 
117.jpg,/.  s  I LEFT EARTH 
118.jpg,
119.jpg,-  P 
12.jpg,TELLING 
120.jpg,Really? Right in front of  my Weed  ™ /4 
121.jpg,ke  Docsn 't  that  vl  ¥  you  ga 
122.jpg,Normal  people  BRAIN 
123.jpg,
125.jpg,Are you  Gagoing me 
126.jpg,
127.jpg,
128.jpg,Docsn  fi  thirt  nla  vou  iy 
129.jpg,-4 
131.jpg,
132.jpg,
133.jpg,
134.jpg,Wy are o gay 
135.jpg,
139.jpg,
140.jpg,My brother in  Christ  Run that shit by 
141.jpg,-  Y . J  Liw 
142.jpg,
143.jpg,{4  B 
144.jpg,
146.jpg,[l  |  i  in  K  i  o tn  L ot  whil  <  W  . 
147.jpg,LS  w4  =  L  pa  V’.g  ‘ [ 
148.jpg,
149.jpg,
150.jpg,
151.jpg,"pt adapt  ¥,  SR  ELy "
152.jpg,2?2727 
153.jpg,myby  ing toaskter?!  o  WYy  Y  - 
156.jpg,"Dear Girls, This guy is very  Handsome. Adl! him  B "
157.jpg,"Congrats you have meet bts army  You are now ""gay”  Press  To cancel "
158.jpg,
159.jpg,
160.jpg,e 
161.jpg,_w  - 
162.jpg,
163.jpg,"at  "" "
164.jpg,
166.jpg,”  sy 
167.jpg,"ey  o  et izardo o  .  yau‘w new ‘Gay""  press  to cancel "
168.jpg,
170.jpg,
171.jpg,A condom  would have  prevented  this post. 
172.jpg,
173.jpg,
175.jpg,i  *  WELL WELL WIELL 
177.jpg,B 
178.jpg,1t  fl\  _  ‘(41 
179.jpg,
180.jpg,‘& 
181.jpg,\' -  1  \ 
182.jpg,"o  —  &  ‘\  ‘Ga  "" "
195.jpg,TI'.UQder are u bus*;/  [  3 
196.jpg,
197.jpg,
198.jpg,
199.jpg,
2.jpg,
200.jpg,
201.jpg,"Admingay b, "
202.jpg,
204.jpg,
240_F_142519276_2dE6eyVNykmKkj9JO3JdKsfj4BokuWom.jpg,
240_F_204029461_ZWs6BCfe68elXjEwtTB2yBeohuzhdvC2.jpg,
240_F_224580052_6OkDIHIw0KxhQgVmb44mP6TPZODD0A3w.jpg,
240_F_253616948_za22DUrpvoM6aBDyPZxXDXf1OVNZFhL4.jpg,
240_F_279686158_QC3giSv7tioR6nmHzJoz6tu2F6y9tHA9.jpg,J e 
240_F_281792532_QToyRs9kecwMJ4ZicjptWakpOFxWmVM2.jpg,
240_F_315334622_sU5qBAIVbeLTeaZt2t6TBGhS4De4ShXA.jpg,¢/  ) 
240_F_73235245_lDw9BaMmhvBegwd1D9lZMRCfY5se0Bjb.jpg,
25.jpg,My brother in  Christ  Run that shit by me  Again 
26.jpg,
27.jpg,"=  n  T  *  Oh, that’s  just nasty. "
28.jpg,
29.jpg,
3.jpg,really right In front of  my dino nuggets? 
32.jpg,
33.jpg,-—  ~  S  -— 
34.jpg,
35.jpg,Really? Right in frant of  my crack rock ?  >  (-] 
36.jpg,o 4 
39.jpg,
4.jpg,hilagl 
40.jpg,
41.jpg,
42.jpg,a5 
43.jpg,LY  o  R  ua‘  s 
46.jpg,
48.jpg,
49.jpg,WHAT THE  IS EVEN THAT? 
5.jpg,-  LB  ¥  ol  -  -  DELETETHIS™ 
51.jpg,~—y .  fucking ussless 
52.jpg,Mayhe | should destroy this app  ke 
55.jpg,
56.jpg,-  Temeeanan  THEY'RE POSTING WEIRD  SHIT AGAIN! 
59.jpg,POR ESTURIDECES  COMO ESTRS  MEARREPICHTA NE  IAELR CREADD FRCLROGK 
60.jpg,S  il 
63.jpg,
64.jpg,"~ v Wiy  ""hl‘u "
66.jpg,
69.jpg,
70.jpg,
